id,main_db_topic_id,subject_id,subject_label,name,grade,class_level,level_tag,topic_family,classes,last_synced_at,status,created_at,updated_at
28,284,1,math,Comparing & Ordering Numbers,grade 2,,Elementary,Number Sense,4,"""2026-05-21T10:19:21.759Z""",active,"""2026-05-21T10:15:45.732Z""","""2026-05-21T10:19:21.759Z"""
29,285,1,math,Place Value to 1000,grade 2,,Intermediate,Place Value,5,"""2026-05-21T10:19:21.894Z""",active,"""2026-05-21T10:15:45.858Z""","""2026-05-21T10:19:21.894Z"""
30,286,1,math,Number Sense to 1000,grade 2,,Elementary,Number Sense,4,"""2026-05-21T10:19:21.975Z""",active,"""2026-05-21T10:15:45.895Z""","""2026-05-21T10:19:21.976Z"""
31,287,1,math,Addition & Subtraction to 1000,grade 2,,Elementary,Addition & Subtraction,6,"""2026-05-21T10:19:22.012Z""",active,"""2026-05-21T10:15:45.930Z""","""2026-05-21T10:19:22.012Z"""
32,288,1,math,Multiplication & Division,grade 2,,Beginner,Multiplication & Division,6,"""2026-05-21T10:19:22.063Z""",active,"""2026-05-21T10:15:45.966Z""","""2026-05-21T10:19:22.063Z"""
33,289,1,math,Time & Clocks,grade 2,,Elementary,Time,3,"""2026-05-21T10:19:22.110Z""",active,"""2026-05-21T10:15:46.003Z""","""2026-05-21T10:19:22.110Z"""
34,290,1,math,2D & 3D Geometry,grade 2,,Elementary,Geometry,4,"""2026-05-21T10:19:22.154Z""",active,"""2026-05-21T10:15:46.039Z""","""2026-05-21T10:19:22.154Z"""
35,291,1,math,Measurement Operations,grade 2,,Elementary,Measurement,3,"""2026-05-21T10:19:22.193Z""",active,"""2026-05-21T10:15:46.073Z""","""2026-05-21T10:19:22.193Z"""
36,292,1,math,Pictographs & Data,grade 2,,Elementary,Data & Statistics,3,"""2026-05-21T10:19:22.228Z""",active,"""2026-05-21T10:15:46.117Z""","""2026-05-21T10:19:22.229Z"""
37,293,1,math,Money Operations,grade 2,,Elementary,Financial Literacy,3,"""2026-05-21T10:19:22.275Z""",active,"""2026-05-21T10:15:46.151Z""","""2026-05-21T10:19:22.276Z"""
